date,symbol,name,sector,ret_5d,ret_10d
2024-05-29,510300,做空沪深300ETF,防御对冲 [熊市强制空头],0.0030470914127422926,0.02105263157894739
2024-05-30,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.0008342602892102652,0.011679644048943342
2024-05-31,510300,做空沪深300ETF,防御对冲 [熊市强制空头],0.0016750418760468407,0.010608598548296988
2025-05-09,600036,招商银行,证券 | 银行 🌟 (题材共振) 🔥 [新题材!],0.018217626784835107,0.01329394387001475
2025-05-09,601288,农业银行,证券 | 银行 🌟 (题材共振) 🔥 [新题材!],0.015355086372360858,0.005758157389635365
2025-05-09,601328,交通银行,证券 | 银行 🌟 (题材共振) 🔥 [新题材!],0.009523809523809563,0.021768707482993217
2025-05-09,600780,通宝能源,电力行业  🔥 [新题材!],-0.016501650165016445,-0.03465346534653465
2025-05-09,600179,安通控股,煤炭行业  🔥 [新题材!],0.01689189189189183,0.0
2025-05-09,600114,东睦股份,工程机械  🔥 [新题材!],0.019133937562940535,0.010574018126888261
2025-05-09,600320,振华重工,工程机械  🔥 [新题材!],-0.009090909090909097,-0.047727272727272715
2025-05-13,600320,振华重工,工程机械  🔥 [新题材!],0.0,-0.03636363636363639
2025-05-13,601002,晋亿实业,工程机械  🔥 [新题材!],-0.008247422680412378,-0.020618556701030855
2025-05-15,600114,东睦股份,工程机械  🔥 [新题材!],0.019182231196365602,-0.020191822311963585
2025-05-15,601002,晋亿实业,工程机械  🔥 [新题材!],-0.00419287211740033,0.010482180293501198
2025-05-16,600320,振华重工,工程机械  🔥 [新题材!],-0.038990825688073376,-0.016055045871559696
2025-05-16,601002,晋亿实业,工程机械  🔥 [新题材!],-0.022821576763485542,-0.01867219917012445
2025-05-19,600320,振华重工,工程机械  🔥 [新题材!],-0.02293577981651388,-0.016055045871559696
2025-05-19,601002,晋亿实业,工程机械  🔥 [新题材!],-0.02663934426229506,-0.02868852459016387
2025-05-20,600114,东睦股份,工程机械  🔥 [新题材!],-0.031452820768846854,-0.055416874687968014
2025-05-20,600320,振华重工,工程机械  🔥 [新题材!],-0.03636363636363639,-0.022727272727272846
2025-05-20,601002,晋亿实业,工程机械  🔥 [新题材!],-0.012474012474012393,-0.016632016632016463
2025-05-22,600114,东睦股份,工程机械  🔥 [新题材!],-0.03863298662704315,-0.05646359583952454
2025-05-27,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.007095793208312221,-0.014698428788646575
2025-05-28,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.010654490106544854,-0.01623541349568748
2025-05-29,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.005042864346949071,-0.003530005042864294
2025-05-30,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.009093205354887605,-0.0078302601667088
2026-05-06,600320,振华重工,工程机械  🔥 [新题材!],-0.01467889908256882,-0.09174311926605504
2026-05-08,600114,东睦股份,工程机械  🔥 [新题材!],-0.04418134565405721,0.08143228414669362
2026-05-13,600114,东睦股份,工程机械  🔥 [新题材!],-0.05590596330275237,0.10865825688073391
2026-05-21,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.025790349417637387,-0.02454242928452586
2026-05-22,510300,做空沪深300ETF,防御对冲 [熊市强制空头],-0.012546277252159593,-0.013163307280954351
